"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins","wiki_title","wikibase_item","Studio","Distributor"
"38-1966","tt0059797","Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 Hours 11 Minutes",1965,"G","138 min","Adventure, Comedy, Family","Ken Annakin","Jack Davies, Ken Annakin","Stuart Whitman, Sarah Miles, James Fox","Hoping to push Britain to the forefront of aviation, a London publisher organizes an international air race across the English Channel, but must contend with two entrants vying for his daughter, as well as national rivalries and chea","English, French, German, Italian, Japanese","United Kingdom","Nominated for 1 Oscar. 1 win & 8 nominations total","https://m.media-amazon.com/images/M/MV5BOTdlMjk5NjQtMmNiNi00OTE3LTg3MjAtNmQ1MzQ3ZDY2ZTU1XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg","N/A","7.0","8,186","tt0059797","movie",NA,NA,NA,NA,"7.0/10",NA,"80%",NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"39-1967","tt0060346","The Drag",1966,"N/A","9 min","Animation, Short","Carlos Marchiori","Guy Glover, Gilbert Choquette, Carlos Marchiori","N/A","The film offers a comical look at dangers of addiction and the difficulties of quitting through the story of a chain smoker.","N/A","Canada","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BYTUxNDc3OTMtYTg5OS00NTQ5LWE2MTctM2UzZTQ1ZDg4OTI0XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.6","101","tt0060346","movie",NA,NA,NA,NA,"6.6/10",NA,NA,3,2022-12-31,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"39-1967","tt0060401","Pharaoh",1966,"N/A","180 min","Adventure, Drama, History","Jerzy Kawalerowicz","Boleslaw Prus, Tadeusz Konwicki, Jerzy Kawalerowicz","Jerzy Zelnik, Wieslawa Mazurkiewicz, Barbara Brylska","Young Pharaoh Ramses XIII clashes with Egypt's clergy over influence on the affairs of the state and its coffers.","Polish","Poland","Nominated for 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTE0ODA3YWUtODcyMS00OGRiLTk5ZDktNzA3ODQ2MDg4MWVhXkEyXkFqcGdeQXVyMjMwOTA0Ng@@._V1_SX300.jpg","N/A","7.4","1,891","tt0060401","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"39-1967","tt0060834","The Pink Blueprint",1966,"Not Rated","7 min","Animation, Short, Comedy","Hawley Pratt","John W. Dunn","N/A","The Pink Panther and Little Man butt heads at building a house of their choice.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTk3NzI1NDc3OF5BMl5BanBnXkFtZTcwMTMyNzEzMQ@@._V1_SX300.jpg","N/A","7.2","343","tt0060834","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"39-1967","tt0061034","Stop the World: I Want to Get Off",1966,"N/A","100 min","Musical","Philip Saville","Leslie Bricusse, Anthony Newley, David Donabie","Tony Tanner, Millicent Martin, Leila Croft","The show, set against a circus backdrop, focuses on Littlechap from the moment of his birth until his death. Each time something unsatisfactory happens, he calls out 'Stop the world!' and addresses the audience.","English","United Kingdom","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTg2ODQwNTUyNl5BMl5BanBnXkFtZTcwNjI3NDEyMQ@@._V1_SX300.jpg","N/A","5.2","164","tt0061034","movie",NA,NA,NA,NA,"5.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"39-1967","tt0061128","Turkey the Bridge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"39-1967","tt0061200","The Winning Strain",1966,"N/A","9 min","Documentary, Short, Sport","N/A","N/A","Bill Skinner","A short documentary showing athletes in action at the 1966 National Amateur Athletic Union track carnival in New York.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.4","5","tt0061200","movie",NA,NA,NA,NA,"5.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"40-1968","tt0061798","HypothÃ¨se Beta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"40-1968","tt0062278","Sky Over Holland",1967,"G","22 min","Documentary, Short","John Fernhout","Simon Koster","N/A","An urban and rural tour of Holland including canals, windmills, art, soaring through clouds, and a glimpse into the multi-seasonal Dutch life in the mid-1960s.","Dutch","Netherlands","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzE3MzA1N2YtNDQ4OC00ODUwLThlODItODQ1ZGQ4NTRiZjJhXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg","N/A","7.3","48","tt0062278","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"41-1969","tt0063257","The Magic Pear Tree",1968,"M","10 min","Animation, Short","Charles Swenson","Giovanni Boccaccio, Jimmy T. Murakami, Charles Swenson","Paul Frees, Agnes Moorehead, Keenan Wynn","A Chinese folktale of greed punishment.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNTlkZDkzMGUtMDNhNy00OWZmLTkyZWUtNWJlZTQ2NDgwOWY1L2ltYWdlXkEyXkFqcGdeQXVyODcxNTAzMw@@._V1_SX300.jpg","N/A","6.2","73","tt0063257","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"41-1969","tt0063262","La maison de Jean-Jacques",1967,"G","8 min","Animation, Short, Comedy","Ron Tunis","Don Arioli","Don Arioli, Les Nirenberg, Ben Lennick","A humorous animation film about a fellow who builds his house in the best suburb he can afford, but he wants something special.","English","Canada","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BYmE4NTJiYWMtNjg4ZC00ZjRlLWI3ODUtMGI4N2Q3MDM0OGI3XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.6","105","tt0063262","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"41-1969","tt0063454","Prelude",1968,"N/A","25 min","Short","John Astin","John Astin","John Astin, Gabor Nagy, Mitch Persons","A man meets his dream girl. When he can't win her over, he learns to appreciate his reality.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","8.8","29","tt0063454","movie",NA,NA,NA,NA,"8.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"41-1969","tt0063816","Windy Day",1968,"N/A","8 min","Animation, Short, Family","John Hubley, Faith Hubley","N/A","Emily Hubley, Georgia Hubley","Two little girls muse on marriage and babies, love and death as they create and act out plays in their backyard.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZGFiZDAyYzktN2M0ZC00YzhlLWEwYTQtYzVmYmIyYmM5YTFkXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.6","197","tt0063816","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"42-1970","tt0064752","Of Men and Demons",1969,"G","11 min","Animation, Short","John Hubley","N/A","N/A","When the Gods of Rain, Wind and Fire team up to ruin a simple farmer's tranquil life, the war is on between nature and machines.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZTM2MGEzMTctZmFmZi00YmYwLWI3M2ItYTUwMzgzMDExYzVmXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.3","93","tt0064752","movie",NA,NA,NA,NA,"6.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"42-1970","tt0064799","People Soup",1969,"G","12 min","Short, Comedy","Alan Arkin","Alan Arkin","Adam Arkin, Matthew Arkin","Alan Arkin brings his two precocious and talented sons to a largely improvised and hilarious look backward into boyhood and a fantasy involving peanut butter, tomato sauce, sheep dogs, bantam roosters and all the things of childhood.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","5.8","75","tt0064799","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"43-1971","tt0065593","Cromwell",1970,"G","139 min","Biography, Drama, History","Ken Hughes","Ken Hughes","Richard Harris, Alec Guinness, Robert Morley","Oliver Cromwell can no longer tolerate King Charles' policies, and the self-interest of the ruling class, and leads a civil war to install Parliament as the ultimate ruler of England.","English","United Kingdom, United States","Won 1 Oscar. 2 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BMmE2MGJhYzAtN2JkYi00NGI3LWIyNjUtZjllODIzODhiNTY3XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg","N/A","7.0","5,825","tt0065593","movie",NA,NA,NA,NA,"7.0/10",NA,"43%",NA,NA,"Prime",NA,NA,"Y",2,1,1,NA,NA,NA,NA
"43-1971","tt0066367","The Shepherd",1969,"N/A","9 min","Animation, Short","Cameron Guess","Derek Lamb","Scott Beach","A shepherd, who wants to be left alone to pursue his career, finally faces the reality that there are no jobs for shepherds. He sends his sheep to the country and takes a correspondence course to train for a new career.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYTA5Zjc5NDgtMjkyZC00MTAzLTlmMjEtZGRlMDQwZmE4YjA3XkEyXkFqcGdeQXVyMTEyODcxMTc@._V1_SX300.jpg","N/A","4.1","37","tt0066367","movie",NA,NA,NA,NA,"4.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"43-1971","tt0066376","Shut Up... I'm Crying",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"43-1971","tt0066406","Sticky My Fingers... Fleet My Feet",1970,"N/A","15 min","Short","John D. Hancock","N/A","Val Bisoglio, Carolee Campbell, Charles Durning","A film about a man accepting his old age.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNWVjYjVhOWItYjhiZS00MmMxLWI3ZDMtYTgyYjc4YmFkNjM3XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","7.0","53","tt0066406","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"44-1972","tt0067152","Good Morning",1971,"N/A","12 min","Short","Ken Greenwald","Denny Evans, Ken Greenwald","Roger Carroll, Vern Rowe","A man wakes up hoping to have a good day, but reality keeps getting in the way.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.8","19","tt0067152","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"44-1972","tt0067662","The Rehearsal",1969,"N/A","17 min","Short, Comedy","Stephen Verona","Dick Clair, Jenna McMahon","Dick Clair, Jenna McMahon","A humorous short where a director becomes frustrated with a quisitive actress during the rehearsal of a play.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","6.5","33","tt0067662","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"44-1972","tt0067772","Somebody Waiting",1972,"N/A","24 min","Documentary, Short","Hal Riney, Dick Snider","N/A","James Daly, Marie Fitzgerald, Joan Mohr","At Corcoran Cottage at Sonoma State Hospital in California, staff try to improve the lives of intellectually disabled children.","N/A","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.1","17","tt0067772","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"45-1973","tt0068614","Frog Story",1972,"N/A","23 min","Short, Fantasy","Ron Satlof","Raynold Gideon, Ron Satlof, André Demir","Raynold Gideon, Gail Case, Pamela Susan Shoop","Another ordinary day in Harry's life, having a few drinks after a long day of work. Then, while walking out of the bar, a distant voice keeps calling him and the voice pleads to the man to take it with him. The voice belongs to a fri","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZTBlMjdjMGMtMGZhMC00MDUyLWE5YzUtZjViMzU5OTQzMDk4XkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.9","35","tt0068614","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"45-1973","tt0068793","Kama Sutra Rides Again",1971,"N/A","9 min","Animation, Short","Bob Godfrey","Stan Hayward, John Lloyd, Ralph Edney","Bob Godfrey, L.J. Dickens","An animated short from British comedian Bob Godfrey.","English","United Kingdom","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNGRhMTEzY2EtZTg1MC00YzMxLTllNWEtYzNkNzQ2ZDNmYWEyXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg","N/A","5.9","212","tt0068793","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"45-1973","tt0069296","Solo",1972,"G","26 min","Short","Mike Hoover","N/A","Mike Hoover","This short story follows a young mountain climber, as he ascends in the beauty of nature. Many challenges face this climber. Is the climb worth his life?","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOTczNTNiYTctODYyMi00MzMzLWFmMmYtNjYzMWE4MjNhMjBjXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","7.7","52","tt0069296","movie",NA,NA,NA,NA,"7.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"46-1974","tt0069891","Clockmaker",1971,"N/A","26 min","Short","Richard Gayer","Richard Gayer","Eric Thompson","A look at the one-man cottage industry of Martin Burgess, a man who has revived the medieval craft of ornamental clock-making and who is solely responsible, for his bizarre, often gargantuan , but always strikingly elegant timepieces","English","United Kingdom","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.2","10","tt0069891","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"46-1974","tt0070296","The Legend of John Henry",1974,"N/A","11 min","Animation, Short, Family","Sam Weiss","Joseph C. Cavella","Roberta Flack","The folk legend of John Henry, and his contest with a steam engine to cut a railroad tunnel through a mountain, is told in song by Roberta Flack.","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BM2ZlMDQ4YjctYTkwMS00OTAxLTkxMTItMjQxNzQ4YjY2NGZhXkEyXkFqcGdeQXVyODk0NDYyMTI@._V1_SX300.jpg","N/A","6.9","82","tt0070296","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"46-1974","tt0070574","Pulcinella",1973,"N/A","11 min","Animation, Short","Giulio Gianini, Emanuele Luzzati","Giulio Gianini, Emanuele Luzzati","N/A","Pulcinella dreams himself into a wild nightmare of a dream that leads us through an abstract world.","Italian","Italy","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzY1YzVhMWYtNjJlNi00YTJjLWE4YzItZWZlMThiN2NhMmZhXkEyXkFqcGdeQXVyMzI5NjUyMDM@._V1_SX300.jpg","N/A","6.4","113","tt0070574","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"47-1975","tt0071335","Climb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"47-1975","tt0071355","The Concert",1974,"N/A","12 min","Short, Comedy, Music","Claude Chagrin","Claude Chagrin, Julian Chagrin","Julian Chagrin, Gerald Benson, Gabrielle Blunt","In this short film punctuated by cartoonlike sight gags, a self styled soloist performs a concert outside The Royal Albert Hall in London by ""playing"" the black &amp; white stripes of a crosswalk which resembles a piano keyboard; he wins","English","United Kingdom","Nominated for 1 Oscar. 1 win & 1 nomination total","N/A","N/A","7.2","37","tt0071355","movie",NA,NA,NA,NA,"7.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"47-1975","tt0072001","Planet Ocean",1974,"N/A","N/A","Short","N/A","N/A","N/A","N/A","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.9","12","tt0072001","movie",NA,NA,NA,NA,"7.9/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"47-1975","tt0072370","The Violin",1974,"Unrated","30 min","Short","N/A","N/A","N/A","The Violin is a collaboration between composer Anna Clyne and visual artist Josh Dorman. Amy Kauffman and Cornelius Dufallo perform Clyne's seven compositions on violin with some fragments of spoken poetry, read by Clyne herself. The","English","Canada","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjY1OTFjYjMtZTQxMy00ZjRlLWIyOTMtY2U2MDczN2JjN2RlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg","N/A","6.7","40","tt0072370","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"47-1975","tt0072380","Voyage to Next",1974,"N/A","10 min","Animation, Short","Faith Hubley, John Hubley","Faith Hubley, John Hubley, Saul H. Mendlovitz","Dizzy Gillespie, Hans Koller, Maureen Stapleton","Mother Earth and Father Time discuss and observe humanity's questionable and destructive progress throughout history.","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BN2E2MWIyMjQtNTM5NC00MWIxLThiODEtYjU4NjhmMTZjNzgyXkEyXkFqcGdeQXVyNjc1NTc4NDQ@._V1_SX300.jpg","N/A","6.1","152","tt0072380","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"48-1976","tt0072816","Conquest of Light",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"48-1976","tt0072846","Dawn Flight",1976,"G","23 min","Short","Larry Lansburgh","N/A","Denis Arndt","Haunted by a mysterious super-pilot, a young glider pilot first flees, then confronts his challenger. Nominated for an Academy Award.","English","United States","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BODQyMWE5ODAtZTU0MC00MjBjLTk3NjQtNDRlYWQwMDIyMjk5XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","N/A","6.8","35","tt0072846","movie",NA,NA,NA,NA,"6.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"48-1976","tt0072847","A Day in the Life of Bonnie Consolo",1975,"N/A","17 min","Documentary, Short","Barry J. Spinello","N/A","Bonnie Consolo","Daily life of woman without arms.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjAwNTc3MTM4Nl5BMl5BanBnXkFtZTgwNzEzNjk4NDE@._V1_SX300.jpg","N/A","6.4","39","tt0072847","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"48-1976","tt0072900","Doubletalk",1975,"PG","10 min","Short, Comedy, Drama","Alan Beattie","Taffy Cannon","Dick DeCoit, Nada Rowand, Richard Eastham","A young man is calling for his first date with a girl when he is invited in to meet her parents. The sound track reveals not only the spoken conversation, but the unspoken thoughts of all the characters.","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.3","43","tt0072900","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"48-1976","tt0073715","Sisyphus",1974,"N/A","3 min","Animation, Short","Marcell Jankovics","N/A","N/A","The film is an artistically spare depiction of the Greek myth of Sysiphus, sentenced to eternally roll a stone up a mountain. The story is presented in a single, unbroken shot, consisting of a dynamic line drawing of Sysiphus, the st","None","Hungary","Nominated for 1 Oscar. 2 nominations total","https://m.media-amazon.com/images/M/MV5BYzk4MmI2NzUtNDU0MS00ZmRhLTg3ZTktY2I5NmNjODNmZGRkXkEyXkFqcGdeQXVyNTM1NjcwNTU@._V1_SX300.jpg","N/A","7.0","847","tt0073715","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"49-1977","tt0074386","Labyrinth",1976,"N/A","12 min","Animation, Short, Drama","Manfredo Manfredi","Manfredo Manfredi, Aldo Raparelli","N/A","A man and a woman sit in a room and when the wind blows the window open, the man imagines what would happen if he kills the woman and the following drama blurs the boundaries between reality and fiction.","None","Italy","Nominated for 1 Oscar. 2 wins & 1 nomination total","N/A","N/A","6.7","31","tt0074386","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"49-1977","tt0074765","Kudzu",1977,"N/A","16 min","Documentary, Short","Marjie Short","N/A","Jimmy Carter, James Dickey","Kudzu, or Pueraria Thunbergiana, is a vine threatening to take over large portions of the Southern landscape. Imported from Japan by the Departement of Agriculture in the 30's for erosion control, its spreading growth has become a pr","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzY3MTNkODItYTYyZC00NmI4LTlhMzQtNDkwYmM4ZmIxODc0XkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg","N/A","7.8","26","tt0074765","movie",NA,NA,NA,NA,"7.8/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"49-1977","tt0074919","The Morning Spider",1976,"N/A","22 min","Short, Comedy, Fantasy","Claude Chagrin","N/A","Julian Chagrin, Lucy Fawcett, James Hayes","Various insects mock a hungry spider that chases after them. Later, he meets a female spider.","None","United Kingdom","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.0","29","tt0074919","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"49-1977","tt0074966","Nightlife",1976,"N/A","11 min","Short","Robin Lehman","Robin Lehman","N/A","An exploration of the fantastic variety of color and forms of life found beneath the Irish Sea.","English","United States","Nominated for 1 Oscar. 1 win & 2 nominations total","N/A","N/A","7.6","23","tt0074966","movie",NA,NA,NA,NA,"7.6/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"49-1977","tt0074986","Number One",1976,"N/A","42 min","Short, Drama","Dyan Cannon","Dyan Cannon","Nan Martin, Allen Garfield, Gary Lockwood","Two little girls hide in the boys' bathroom at school so they can find out what happens there. When two boys come in, the four gradually talk each other into taking off their clothes. The principal catches them, and angrily berates t","English","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.7","32","tt0074986","movie",NA,NA,NA,NA,"7.7/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"50-1978","tt0075732","The Bead Game",1977,"N/A","6 min","Animation, Short, Comedy","Ishu Patel","N/A","N/A","To a percussive soundtrack, a succession of more complex animals forms and is consumed by their successors (all formed from beads). Finally, We reach man, who develops ever more sophisticated forms of war.","None","Canada","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZGY4ZjJmZjQtNTkzNy00NDE5LThlMzItM2M3ODBjNDliYjY3XkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg","N/A","7.1","629","tt0075732","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"50-1978","tt0075953","A Doonesbury Special",1977,"N/A","25 min","Animation, Short","Faith Hubley, John Hubley, Garry Trudeau","Garry Trudeau, Faith Hubley, John Hubley","Richard Cox, Barbara Harris, David Grant","Garry Trudeau's classic characters (Mike Doonesbury, Zonker, etc.) examine how their lifestyles, priorities, and concerns have changed since the end of their idealistic college days in the 1960's.","English","United States","Nominated for 1 Oscar. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTYzNTkzNjQzM15BMl5BanBnXkFtZTcwMDk3MDAzMQ@@._V1_SX300.jpg","N/A","6.5","175","tt0075953","movie",NA,NA,NA,NA,"6.5/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"50-1978","tt0076036","Floating Free",1978,"N/A","11 min","Documentary, Short","Jerry Butts","N/A","Ashley Whippet","Images of several of the contested events at the 1977 World Frisbee Championships.","N/A","United States","Nominated for 1 Oscar. 1 nomination total","N/A","N/A","7.3","29","tt0076036","movie",NA,NA,NA,NA,"7.3/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"50-1978","tt0076467","Notes on the Popular Arts",1978,"N/A","20 min","Short","Elaine Bass, Saul Bass","N/A","Beans Morocco","This series of light-hearted episodes by Saul Bass illuminates the fantasy lives of those who daily watch, listen and dream in the worlds of television, movies, popular music and print. By turns lyrical and funny, it shows how the po","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZmM4ZDVjYTctZDYyMy00YzUwLWI4MjQtMDE0ZTI4NDFhNjNiXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg","N/A","6.2","58","tt0076467","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
"50-1978","tt0076742","Spaceborne",1977,"N/A","14 min","Documentary, Short","Philip Dauber","N/A","N/A","Oscar nominated short showing images taken during space missions of the mid-1970s. It contains images of Skylab, astronauts and the Earth later followed by footage from Apollo 17.","None","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYTFjNGEwOTMtZWI5OC00ZGM1LWJmMmQtZTI0MjZhYzhjMGEzXkEyXkFqcGdeQXVyMTI4MjY2MQ@@._V1_SX300.jpg","N/A","7.1","34","tt0076742","movie",NA,NA,NA,NA,"7.1/10",NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA
